 Event ID : 2
-215.962 22.8395 1253.44 490 18.75
-240.504 70.8781 1253.44 490 20.7
-100.619 -9.95207 1253.44 490 17.7
-171.788 19.8703 1253.44 490 24.35
39.2659 -39.7067 1253.44 490 20.1
-61.3529 83.5624 1256 491 17.55
-78.5318 -5.70141 1258.56 492 17.85
206.146 -62.3768 1258.56 492 67.2
44.1741 36.8052 1261.12 493 17.35
44.1741 -155.891 1261.12 493 19.65
53.9906 73.7119 1261.12 493 19.8
-61.3529 103.467 1261.12 493 17.85
191.421 104.883 1261.12 493 18
-39.2659 53.8078 1263.68 494 18.05
230.687 -121.886 1263.68 494 18.15
-171.788 -184.364 1263.68 494 18.55
58.8988 73.7119 1263.68 494 27.2
46.6282 52.4586 1263.68 494 17.45
-24.5412 -19.8025 1263.68 494 18.9
68.7153 99.2159 1263.68 494 21.35
220.871 70.8781 1263.68 494 15.65
24.5412 -87.813 1266.24 495 17.85
58.8988 -79.3117 1266.24 495 18.8
93.2565 -53.8078 1266.24 495 18.65
137.431 -96.3821 1268.8 496 18.65
-9.81648 -232.403 1268.8 496 19.35
-49.0824 28.3038 1271.36 497 18.7
7.36235 -100.565 1271.36 497 16.05
-78.5318 -31.2053 1271.36 497 18.8
191.421 -99.3513 1271.36 497 19.35
-132.522 -116.354 1271.36 497 16.15
-166.88 11.369 1273.92 498 19.5
-78.5318 215.4 1273.92 498 17.4
-49.0824 158.861 1273.92 498 17.05
-49.0824 164.393 1273.92 498 18.4
-56.4447 -128.97 1273.92 498 17.55
-98.1647 -19.8025 1273.92 498 18.3
29.4494 -141.858 1273.92 498 18.75
49.0824 82.2132 1276.48 499 15.4
-90.8024 41.0558 1276.48 499 21.4
39.2659 96.3143 1276.48 499 18.15
68.7153 -62.3091 1276.48 499 18.7
