	20	8	2	3	0	20	
	279	6	1	3	0	279	
	321	8	3	2	0	321	
	374	2	0	0	0	374	
	405	2	0	3	0	405	
	488	0	3	3	0	488	
	508	0	3	2	0	508	
	566	6	0	1	0	566	
	605	8	3	1	0	605	
	614	8	3	3	0	614	
	798	0	2	2	0	798	
	818	0	3	1	0	818	
	840	0	3	0	0	840	
	861	6	0	3	0	861	
	899	8	2	1	0	899	
	907	8	2	2	0	907	
	939	2	0	1	0	939	
	964	2	1	2	0	964	
	982	2	1	3	0	982	
	1062	0	2	3	0	1062	
	1098	0	2	1	0	1098	
	1227	2	1	1	0	1227	
	1298	0	0	2	0	1298	
	1336	2	3	1	0	1336	
	1528	2	1	0	0	1528	
	1672	0	2	0	0	1672	
	1790	4	2	0	0	1790	
	1805	4	2	1	0	1805	
	1834	0	0	3	0	1834	
	1839	0	1	3	0	1839	
	1874	2	3	2	0	1874	
	1893	2	3	0	0	1893	
	1933	5	3	2	0	1933	
	2228	8	3	0	0	2228	
	2299	4	2	3	0	2299	
	2392	2	2	1	0	2392	
	2395	2	3	3	0	2395	
	2428	5	2	2	0	2428	
	2463	5	3	0	0	2463	
	2496	9	0	2	0	2496	
	2542	4	2	2	0	2542	
	2553	4	3	3	0	2553	
	2599	0	1	2	0	2599	
	2633	2	2	3	0	2633	
	2736	9	0	3	0	2736	
	2753	9	1	3	0	2753	
	2817	0	0	0	0	2817	
	2908	5	2	3	0	2908	
	2925	5	3	3	0	2925	
	2961	9	0	1	0	2961	
	2982	9	1	2	0	2982	
	3058	0	0	1	0	3058	
	3071	0	1	1	0	3071	
	3074	0	1	0	0	3074	
	3092	2	2	0	0	3092	
	3117	2	2	2	0	3117	
	3233	4	3	2	0	3233	
	3247	4	3	0	0	3247	
	3381	5	3	1	0	3381	
	3465	9	2	2	0	3465	
	3647	4	3	1	0	3647	
	3689	9	3	1	0	3689	
	3815	9	0	0	0	3815	
	3832	9	1	1	0	3832	
	3987	5	2	1	0	3987	
	4064	5	1	2	0	4064	
	4095	5	2	0	0	4095	
	4229	9	2	1	0	4229	
	4319	9	2	3	0	4319	
	4322	9	3	3	0	4322	
	4331	5	0	1	0	4331	
	4336	5	0	3	0	4336	
	4339	5	1	3	0	4339	
	4437	5	1	1	0	4437	
	4494	9	3	2	0	4494	
	4550	9	1	0	0	4550	
	4590	5	0	2	0	4590	
	4762	5	1	0	0	4762	
	4788	9	2	0	0	4788	
	4981	9	3	0	0	4981	
	4998	5	0	0	0	4998	
	5205	4	1	1	0	5205	
	5226	4	1	2	0	5226	
	5259	2	0	2	0	5259	
	5367	6	0	2	0	5367	
	5404	6	1	2	0	5404	
	5415	6	1	0	0	5415	
	5485	4	1	0	0	5485	
	5537	4	0	1	0	5537	
	5607	3	0	2	0	5607	
	5628	3	0	1	0	5628	
	5639	3	0	0	0	5639	
	5778	4	1	3	0	5778	
	5837	4	0	0	0	5837	
	5841	1	3	2	0	5841	
	5850	1	2	3	0	5850	
	5866	1	1	3	0	5866	
	5896	3	1	1	0	5896	
	5938	3	0	3	0	5938	
	5986	6	1	1	0	5986	
	6075	4	0	3	0	6075	
	6079	4	0	2	0	6079	
	6136	1	2	2	0	6136	
	6211	3	1	3	0	6211	
	6369	1	3	1	0	6369	
	6388	1	3	3	0	6388	
	6425	3	2	2	0	6425	
	6435	1	1	2	0	6435	
	6452	1	0	3	0	6452	
	6782	3	1	2	0	6782	
	6865	8	1	2	0	6865	
	7032	6	2	2	0	7032	
	7092	8	2	0	0	7092	
	7230	1	1	1	0	7230	
	7254	1	0	2	0	7254	
	7271	1	0	0	0	7271	
	7322	3	1	0	0	7322	
	7331	6	0	0	0	7331	
	7494	1	1	0	0	7494	
	7526	6	3	2	0	7526	
	7701	3	3	1	0	7701	
	7760	1	0	1	0	7760	
	7777	6	3	1	0	7777	
	7903	1	2	1	0	7903	
	7951	3	2	1	0	7951	
	7970	3	2	0	0	7970	
	8091	8	1	3	0	8091	
	8099	1	3	0	0	8099	
	8175	3	3	3	0	8175	
	8186	3	2	3	0	8186	
	8270	6	2	3	0	8270	
	8281	6	2	1	0	8281	
	8346	1	2	0	0	8346	
	8529	8	1	1	0	8529	
	8537	8	0	3	0	8537	
	8607	3	3	0	0	8607	
	8702	6	3	3	0	8702	
	8744	8	0	2	0	8744	
	8772	7	3	1	0	8772	
	8817	3	3	2	0	8817	
	8927	6	2	0	0	8927	
	8981	7	3	2	0	8981	
	8983	7	3	3	0	8983	
	9006	7	2	2	0	9006	
	9071	7	0	3	0	9071	
	9088	7	0	1	0	9088	
	9142	8	0	1	0	9142	
	9167	7	2	3	0	9167	
	9179	7	1	3	0	9179	
	9226	8	1	0	0	9226	
	9281	7	0	2	0	9281	
	9368	7	1	2	0	9368	
	9487	6	3	0	0	9487	
	9585	8	0	0	0	9585	
	9726	7	0	0	0	9726	
	9784	7	1	1	0	9784	
	9831	7	3	0	0	9831	
	9851	7	2	1	0	9851	
	10048	7	2	0	0	10048	
	10106	7	1	0	0	10106	
